strategy_name,variety_name,sector,side,entry_date,exit_date,entry_price,exit_price,holding_days,pnl_ratio,exit_reason
单品种,沪锌,有色金属,long,2025-08-08,2025-08-14,22515.0,22480.0,4,-0.001554519209415945,tp3_main_turn_down
单品种,沪锌,有色金属,short,2025-08-19,2025-08-25,22205.0,22395.0,4,-0.008556631389326727,tp3_main_turn_up
单品种,沪锌,有色金属,long,2025-08-27,2025-08-29,22310.0,22140.0,2,-0.00761990138951143,tp3_main_turn_down
单品种,沪锌,有色金属,long,2025-09-12,2025-09-18,22305.0,22045.0,4,-0.01165657924232235,tp3_main_turn_down
单品种,沪锌,有色金属,short,2025-10-20,2025-10-22,21850.0,22000.0,2,-0.006864988558352402,tp3_main_turn_up
单品种,沪锌,有色金属,long,2025-10-24,2025-10-30,22355.0,22365.0,4,0.00044732721986132855,tp3_main_turn_down
单品种,沪锌,有色金属,short,2025-11-11,2025-11-21,22675.0,22390.0,8,0.01256890848952591,tp3_main_turn_up
单品种,沪锌,有色金属,short,2025-12-10,2025-12-15,23075.0,23430.0,3,-0.015384615384615385,tp3_main_turn_up
单品种,沪锌,有色金属,short,2026-01-12,2026-01-15,24175.0,25090.0,3,-0.03784901758014478,tp3_main_turn_up
单品种,沪锌,有色金属,short,2026-01-20,2026-01-27,24410.0,24950.0,5,-0.02212208111429742,tp3_main_turn_up
单品种,沪锌,有色金属,short,2026-02-03,2026-02-12,24960.0,24670.0,7,0.011618589743589744,tp3_main_turn_up
单品种,沪锌,有色金属,long,2026-03-25,2026-04-07,22935.0,23730.0,8,0.03466317854807063,tp3_main_turn_down
单品种,沪锌,有色金属,short,2026-04-10,2026-04-17,23615.0,24020.0,5,-0.017150116451408005,tp3_main_turn_up
单品种,沪金,贵金属,short,2025-07-30,2025-08-04,773.78,781.42,3,-0.009873607485331731,tp3_main_turn_up
单品种,沪金,贵金属,long,2025-08-06,2025-08-11,783.68,779.48,3,-0.005359330338913755,tp3_main_turn_down
单品种,沪金,贵金属,short,2025-08-13,2025-08-20,777.72,772.68,5,0.006480481407190348,tp3_main_turn_up
单品种,沪金,贵金属,long,2025-08-26,2025-09-08,781.12,825.18,9,0.05640618598934856,tp3_main_turn_down
单品种,沪金,贵金属,short,2025-09-11,2025-09-23,832.84,855.44,8,-0.027136064550213754,tp3_main_turn_up
单品种,沪金,贵金属,long,2025-11-03,2025-11-17,922.58,932.32,10,0.010557350040104933,tp3_main_turn_down
单品种,沪金,贵金属,short,2025-11-18,2025-11-25,921.34,946.5,5,-0.027308051316560625,tp3_main_turn_up
单品种,沪金,贵金属,short,2025-12-04,2025-12-11,953.42,957.9,5,-0.0046988735289799025,tp3_main_turn_up
单品种,沪金,贵金属,short,2025-12-30,2026-01-08,984.84,997.94,5,-0.01330165306039562,tp3_main_turn_up
单品种,沪金,贵金属,long,2026-01-13,2026-01-20,1030.44,1060.16,5,0.028842048057140662,tp3_main_turn_down
单品种,沪金,贵金属,short,2026-02-02,2026-02-10,1008.6,1121.22,6,-0.11165972635336109,tp3_main_turn_up
单品种,沪金,贵金属,long,2026-03-26,2026-04-10,995.98,1048.36,10,0.05259141749834322,tp3_main_turn_down
单品种,沪金,贵金属,short,2026-04-13,2026-04-20,1043.4,1054.96,5,-0.011079164270653578,tp3_main_turn_up
单品种,铁矿石,黑色系,short,2025-08-15,2025-08-22,776.0,770.0,5,0.007731958762886598,tp3_main_turn_up
单品种,铁矿石,黑色系,long,2025-08-26,2025-09-01,776.5,766.0,4,-0.013522215067611075,tp3_main_turn_down
单品种,铁矿石,黑色系,short,2025-09-16,2025-09-19,803.5,807.5,3,-0.004978220286247666,tp3_main_turn_up
单品种,铁矿石,黑色系,short,2025-09-29,2025-10-13,784.0,804.5,4,-0.02614795918367347,tp3_main_turn_up
单品种,铁矿石,黑色系,long,2025-10-24,2025-11-03,771.0,782.5,6,0.014915693904020753,tp3_main_turn_down
单品种,铁矿石,黑色系,short,2025-11-05,2025-11-12,776.0,774.0,5,0.002577319587628866,tp3_main_turn_up
单品种,铁矿石,黑色系,long,2025-11-13,2025-11-21,772.5,785.5,6,0.016828478964401296,tp3_main_turn_down
单品种,铁矿石,黑色系,long,2025-12-15,2025-12-25,753.0,778.5,8,0.03386454183266932,tp3_main_turn_down
单品种,铁矿石,黑色系,short,2025-12-26,2025-12-29,783.0,796.5,1,-0.017241379310344827,tp3_main_turn_up
单品种,铁矿石,黑色系,short,2026-01-14,2026-01-26,821.0,784.5,8,0.044457978075517664,tp3_main_turn_up
单品种,铁矿石,黑色系,long,2026-01-27,2026-02-03,788.0,777.5,5,-0.0133248730964467,tp3_main_turn_down
单品种,铁矿石,黑色系,short,2026-03-18,2026-04-16,811.0,782.5,20,0.03514180024660912,tp3_main_turn_up
单品种,铁矿石,黑色系,long,2026-04-17,2026-04-20,778.5,786.5,1,0.010276172125883108,final_close
单品种,焦煤,黑色系,short,2025-07-30,2025-08-05,1232.5,1182.0,4,0.040973630831643,tp3_main_turn_up
单品种,焦煤,黑色系,short,2025-08-14,2025-08-25,1214.0,1215.5,7,-0.0012355848434925864,tp3_main_turn_up
单品种,焦煤,黑色系,long,2025-09-09,2025-09-22,1123.5,1217.5,9,0.08366711170449488,tp3_main_turn_down
单品种,焦煤,黑色系,short,2025-09-23,2025-10-15,1217.5,1151.0,10,0.05462012320328542,tp3_main_turn_up
单品种,焦煤,黑色系,long,2025-10-17,2025-10-27,1179.0,1263.5,6,0.07167090754877015,tp3_main_turn_down
单品种,焦煤,黑色系,short,2025-11-04,2025-11-26,1253.0,1084.5,16,0.13447725458898643,tp3_main_turn_up
单品种,焦煤,黑色系,short,2025-12-15,2025-12-16,1061.0,1067.5,1,-0.006126295947219604,tp3_main_turn_up
单品种,焦煤,黑色系,short,2025-12-29,2026-01-07,1088.0,1164.0,5,-0.06985294117647059,tp3_main_turn_up
单品种,焦煤,黑色系,long,2026-01-12,2026-01-15,1238.0,1187.5,3,-0.04079159935379645,tp3_main_turn_down
单品种,焦煤,黑色系,short,2026-01-16,2026-01-26,1171.0,1159.5,6,0.00982066609735269,tp3_main_turn_up
单品种,焦煤,黑色系,long,2026-01-28,2026-02-06,1134.5,1138.5,7,0.0035257822829440283,tp3_main_turn_down
单品种,焦煤,黑色系,short,2026-02-09,2026-03-03,1147.0,1127.0,10,0.017436791630340016,tp3_main_turn_up
单品种,焦煤,黑色系,long,2026-03-04,2026-03-17,1097.0,1176.0,9,0.07201458523245215,tp3_main_turn_down
单品种,焦煤,黑色系,short,2026-03-20,2026-03-23,1171.0,1289.5,1,-0.10119555935098207,tp3_main_turn_up
单品种,焦煤,黑色系,short,2026-03-30,2026-04-08,1214.0,1120.5,6,0.07701812191103789,tp3_main_turn_up
单品种,焦煤,黑色系,long,2026-04-09,2026-04-13,1077.0,1066.0,2,-0.01021355617455896,tp3_main_turn_down
单品种,焦煤,黑色系,long,2026-04-17,2026-04-20,1226.0,1263.5,1,0.030587275693311582,final_close
单品种,PTA,化工能化,short,2025-07-30,2025-08-08,4856.0,4684.0,7,0.03542009884678748,tp3_main_turn_up
单品种,PTA,化工能化,long,2025-08-12,2025-08-14,4726.0,4666.0,2,-0.012695725772323318,tp3_main_turn_down
单品种,PTA,化工能化,short,2025-08-28,2025-09-09,4792.0,4678.0,8,0.02378964941569282,tp3_main_turn_up
单品种,PTA,化工能化,long,2025-09-10,2025-09-22,4698.0,4586.0,8,-0.023839931885908897,tp3_main_turn_down
单品种,PTA,化工能化,long,2025-09-30,2025-10-13,4594.0,4510.0,3,-0.01828471919895516,tp3_main_turn_down
单品种,PTA,化工能化,long,2025-10-20,2025-10-31,4384.0,4586.0,9,0.04607664233576642,tp3_main_turn_down
单品种,PTA,化工能化,short,2025-11-03,2025-11-07,4596.0,4664.0,4,-0.014795474325500435,tp3_main_turn_up
单品种,PTA,化工能化,short,2025-12-10,2025-12-12,4616.0,4674.0,2,-0.012564991334488735,tp3_main_turn_up
单品种,PTA,化工能化,long,2025-12-16,2025-12-29,4668.0,5122.0,9,0.0972579263067695,tp3_main_turn_down
单品种,PTA,化工能化,short,2025-12-30,2026-01-12,5144.0,5142.0,7,0.00038880248833592535,tp3_main_turn_up
单品种,PTA,化工能化,short,2026-01-29,2026-02-04,5332.0,5218.0,4,0.02138034508627157,tp3_main_turn_up
单品种,PTA,化工能化,short,2026-03-16,2026-03-30,6982.0,6768.0,10,0.030650243483242624,tp3_main_turn_up
单品种,PTA,化工能化,long,2026-04-16,2026-04-20,6378.0,6306.0,2,-0.011288805268109126,final_close
单品种,甲醇,化工能化,short,2025-07-31,2025-08-08,2405.0,2383.0,6,0.009147609147609148,tp3_main_turn_up
单品种,甲醇,化工能化,long,2025-08-12,2025-08-14,2496.0,2435.0,2,-0.024439102564102564,tp3_main_turn_down
单品种,甲醇,化工能化,short,2025-08-28,2025-09-03,2373.0,2382.0,4,-0.0037926675094816687,tp3_main_turn_up
单品种,甲醇,化工能化,long,2025-09-04,2025-09-12,2378.0,2379.0,6,0.00042052144659377626,tp3_main_turn_down
单品种,甲醇,化工能化,long,2025-09-29,2025-10-21,2359.0,2268.0,10,-0.03857566765578635,tp3_main_turn_down
单品种,甲醇,化工能化,long,2025-11-24,2025-12-03,2077.0,2128.0,7,0.02455464612421762,tp3_main_turn_down
单品种,甲醇,化工能化,short,2025-12-04,2025-12-12,2113.0,2099.0,6,0.006625650733554188,tp3_main_turn_up
单品种,甲醇,化工能化,long,2025-12-16,2025-12-24,2129.0,2172.0,6,0.020197275716298733,tp3_main_turn_down
单品种,甲醇,化工能化,short,2026-01-09,2026-01-23,2273.0,2298.0,10,-0.010998680158380994,tp3_main_turn_up
单品种,甲醇,化工能化,long,2026-01-27,2026-02-02,2304.0,2252.0,4,-0.022569444444444444,tp3_main_turn_down
单品种,甲醇,化工能化,short,2026-02-03,2026-02-12,2247.0,2231.0,7,0.007120605251446373,tp3_main_turn_up
单品种,甲醇,化工能化,long,2026-03-04,2026-03-10,2553.0,2549.0,4,-0.0015667841754798276,tp3_main_turn_down
单品种,甲醇,化工能化,short,2026-03-26,2026-04-10,3202.0,3114.0,10,0.027482823235477825,tp3_main_turn_up
单品种,橡胶,化工能化,short,2025-07-30,2025-08-06,14945.0,15495.0,5,-0.03680160588825694,tp3_main_turn_up
单品种,橡胶,化工能化,short,2025-08-15,2025-08-27,15905.0,15760.0,8,0.009116629990569003,tp3_main_turn_up
单品种,橡胶,化工能化,short,2025-09-11,2025-09-17,15905.0,15880.0,4,0.0015718327569946558,tp3_main_turn_up
单品种,橡胶,化工能化,long,2025-10-21,2025-10-31,15150.0,15085.0,8,-0.0042904290429042905,tp3_main_turn_down
单品种,橡胶,化工能化,short,2025-11-03,2025-11-07,15095.0,14995.0,4,0.006624710168930109,tp3_main_turn_up
单品种,橡胶,化工能化,long,2025-11-12,2025-11-18,15220.0,15295.0,4,0.00492772667542707,tp3_main_turn_down
单品种,橡胶,化工能化,short,2026-01-05,2026-01-07,15790.0,16180.0,2,-0.024699176694110196,tp3_main_turn_up
单品种,橡胶,化工能化,short,2026-01-12,2026-01-23,16130.0,16315.0,9,-0.011469311841289522,tp3_main_turn_up
单品种,橡胶,化工能化,long,2026-01-28,2026-02-02,16360.0,15980.0,3,-0.023227383863080684,tp3_main_turn_down
单品种,橡胶,化工能化,short,2026-02-03,2026-02-10,16180.0,16335.0,5,-0.009579728059332509,tp3_main_turn_up
单品种,橡胶,化工能化,short,2026-03-04,2026-03-10,16740.0,17115.0,4,-0.022401433691756272,tp3_main_turn_up
单品种,橡胶,化工能化,short,2026-03-17,2026-03-25,16800.0,16430.0,6,0.022023809523809525,tp3_main_turn_up
单品种,橡胶,化工能化,long,2026-03-27,2026-04-09,16510.0,17140.0,8,0.03815869170199879,tp3_main_turn_down
单品种,橡胶,化工能化,short,2026-04-13,2026-04-20,16795.0,17080.0,5,-0.01696933611193808,final_close
单品种,豆粕,油脂油料,long,2025-08-06,2025-08-18,3072.0,3155.0,8,0.027018229166666668,tp3_main_turn_down
单品种,豆粕,油脂油料,short,2025-08-19,2025-09-01,3161.0,3054.0,9,0.03385004745333755,tp3_main_turn_up
单品种,豆粕,油脂油料,long,2025-09-03,2025-09-15,3066.0,3042.0,8,-0.007827788649706457,tp3_main_turn_down
单品种,豆粕,油脂油料,short,2025-09-17,2025-09-23,3002.0,2928.0,4,0.02465023317788141,tp3_main_turn_up
单品种,豆粕,油脂油料,long,2025-09-26,2025-09-29,2937.0,2933.0,1,-0.001361933946203609,tp3_main_turn_down
单品种,豆粕,油脂油料,long,2025-10-24,2025-11-07,2933.0,3058.0,10,0.04261847937265598,tp3_main_turn_down
单品种,豆粕,油脂油料,short,2025-11-10,2025-11-26,3063.0,3015.0,12,0.015670910871694418,tp3_main_turn_up
单品种,豆粕,油脂油料,long,2025-11-27,2025-12-04,3055.0,2833.0,5,-0.07266775777414075,tp3_main_turn_down
单品种,豆粕,油脂油料,long,2025-12-16,2025-12-22,2777.0,2741.0,4,-0.012963629816348578,tp3_main_turn_down
单品种,豆粕,油脂油料,long,2025-12-29,2026-01-05,2774.0,2754.0,3,-0.007209805335255948,tp3_main_turn_down
单品种,豆粕,油脂油料,short,2026-01-14,2026-01-22,2751.0,2768.0,6,-0.0061795710650672485,tp3_main_turn_up
单品种,豆粕,油脂油料,long,2026-01-23,2026-01-30,2751.0,2767.0,5,0.0058160668847691745,tp3_main_turn_down
单品种,豆粕,油脂油料,short,2026-02-03,2026-02-09,2727.0,2729.0,4,-0.0007334066740007334,tp3_main_turn_up
单品种,豆粕,油脂油料,long,2026-02-12,2026-02-27,2790.0,2833.0,5,0.015412186379928316,tp3_main_turn_down
单品种,豆粕,油脂油料,short,2026-03-17,2026-03-31,3070.0,2915.0,10,0.050488599348534204,tp3_main_turn_up
单品种,豆粕,油脂油料,long,2026-04-09,2026-04-16,2971.0,2991.0,5,0.006731740154830024,tp3_main_turn_down
单品种,豆粕,油脂油料,short,2026-04-20,2026-04-20,2967.0,2967.0,0,-0.0,final_close
单品种,棕榈油,油脂油料,short,2025-08-22,2025-09-03,9592.0,9368.0,8,0.02335279399499583,tp3_main_turn_up
单品种,棕榈油,油脂油料,long,2025-09-08,2025-09-10,9466.0,9244.0,2,-0.023452355799704203,tp3_main_turn_down
单品种,棕榈油,油脂油料,short,2025-10-17,2025-11-05,9308.0,8590.0,13,0.07713794585302965,tp3_main_turn_up
单品种,棕榈油,油脂油料,long,2025-11-07,2025-11-14,8660.0,8644.0,5,-0.0018475750577367205,tp3_main_turn_down
单品种,棕榈油,油脂油料,long,2025-12-01,2025-12-08,8652.0,8702.0,5,0.005779010633379565,tp3_main_turn_down
单品种,棕榈油,油脂油料,short,2025-12-10,2025-12-22,8528.0,8414.0,8,0.013367729831144466,tp3_main_turn_up
单品种,棕榈油,油脂油料,long,2025-12-23,2026-01-05,8486.0,8488.0,7,0.00023568230025925054,tp3_main_turn_down
单品种,棕榈油,油脂油料,short,2026-01-20,2026-01-22,8748.0,8944.0,2,-0.02240512117055327,tp3_main_turn_up
单品种,棕榈油,油脂油料,short,2026-02-02,2026-02-26,9014.0,8714.0,12,0.033281562014643884,tp3_main_turn_up
单品种,棕榈油,油脂油料,short,2026-03-19,2026-03-27,9796.0,9768.0,6,0.0028583095140873828,tp3_main_turn_up
单品种,棕榈油,油脂油料,short,2026-04-08,2026-04-20,9568.0,9486.0,8,0.008570234113712374,final_close
单品种,玉米,农产品,long,2025-08-13,2025-08-15,2212.0,2190.0,2,-0.009945750452079566,tp3_main_turn_down
单品种,玉米,农产品,long,2025-08-25,2025-09-09,2154.0,2214.0,11,0.027855153203342618,tp3_main_turn_down
单品种,玉米,农产品,short,2025-09-10,2025-09-22,2197.0,2147.0,8,0.02275830678197542,tp3_main_turn_up
单品种,玉米,农产品,long,2025-09-24,2025-10-13,2164.0,2092.0,7,-0.033271719038817,tp3_main_turn_down
单品种,玉米,农产品,long,2025-10-17,2025-10-24,2117.0,2133.0,5,0.007557864903164856,tp3_main_turn_down
单品种,玉米,农产品,long,2025-11-04,2025-11-17,2135.0,2182.0,9,0.022014051522248244,tp3_main_turn_down
单品种,玉米,农产品,short,2025-11-18,2025-11-24,2168.0,2220.0,4,-0.023985239852398525,tp3_main_turn_up
单品种,玉米,农产品,short,2025-12-02,2025-12-05,2243.0,2295.0,3,-0.0231832367365136,tp3_main_turn_up
单品种,玉米,农产品,short,2025-12-11,2025-12-17,2236.0,2206.0,4,0.013416815742397137,tp3_main_turn_up
单品种,玉米,农产品,long,2025-12-25,2026-01-06,2189.0,2222.0,6,0.01507537688442211,tp3_main_turn_down
单品种,玉米,农产品,short,2026-01-07,2026-01-09,2248.0,2263.0,2,-0.0066725978647686835,tp3_main_turn_up
单品种,玉米,农产品,short,2026-01-15,2026-01-26,2295.0,2293.0,7,0.0008714596949891067,tp3_main_turn_up
单品种,玉米,农产品,short,2026-01-29,2026-02-05,2281.0,2273.0,5,0.0035072336694432268,tp3_main_turn_up
单品种,玉米,农产品,long,2026-02-09,2026-02-26,2274.0,2342.0,7,0.02990325417766051,tp3_main_turn_down
