strategy_name,variety_name,sector,side,entry_date,exit_date,entry_price,exit_price,holding_days,pnl_ratio,entry_main_score,exit_reason
策略2_完整约束,豆粕,油脂油料,short,2026-03-18,2026-03-31,3036.0,2915.0,9,0.03985507246376811,0.7333333333333333,tp3_main_turn_up
策略2_完整约束,沪锌,有色金属,long,2026-03-27,2026-04-07,23380.0,23730.0,6,0.014970059880239521,1.0,tp3_main_turn_down
策略2_完整约束,焦煤,黑色系,short,2026-03-31,2026-04-08,1148.5,1120.5,5,0.024379625598606878,1.0,tp3_main_turn_up
策略2_完整约束,棕榈油,油脂油料,short,2026-04-08,2026-04-20,9568.0,9486.0,8,0.008570234113712374,0.8,final_close
策略2_完整约束,沪铝,有色金属,short,2026-04-08,2026-04-14,24780.0,24960.0,4,-0.007263922518159807,0.7333333333333333,tp3_main_turn_up
策略2_完整约束,焦煤,黑色系,long,2026-04-09,2026-04-13,1077.0,1066.0,2,-0.01021355617455896,0.6333333333333333,tp3_main_turn_down
策略2_完整约束,沪金,贵金属,short,2026-04-14,2026-04-20,1052.82,1054.96,4,-0.0020326361581277904,0.23333333333333334,tp3_main_turn_up
策略2_完整约束,PTA,化工能化,long,2026-04-16,2026-04-20,6378.0,6306.0,2,-0.011288805268109126,1.0,final_close
策略2_仅3槽_无板块互斥,PTA,化工能化,short,2025-07-30,2025-08-08,4856.0,4684.0,7,0.03542009884678748,,tp3_main_turn_up
策略2_仅3槽_无板块互斥,橡胶,化工能化,short,2025-07-30,2025-08-06,14945.0,15495.0,5,-0.03680160588825694,,tp3_main_turn_up
策略2_仅3槽_无板块互斥,沪金,贵金属,short,2025-07-30,2025-08-04,773.78,781.42,3,-0.009873607485331731,,tp3_main_turn_up
策略2_仅3槽_无板块互斥,沪金,贵金属,long,2025-08-06,2025-08-11,783.68,779.48,3,-0.005359330338913755,,tp3_main_turn_down
策略2_仅3槽_无板块互斥,沪铝,有色金属,long,2025-08-07,2025-08-14,20750.0,20715.0,5,-0.0016867469879518072,,tp3_main_turn_down
策略2_仅3槽_无板块互斥,沪铜,有色金属,long,2025-08-11,2025-08-15,79020.0,79060.0,4,0.0005062009617818274,,tp3_main_turn_down
策略2_仅3槽_无板块互斥,PTA,化工能化,long,2025-08-12,2025-08-14,4726.0,4666.0,2,-0.012695725772323318,,tp3_main_turn_down
策略2_仅3槽_无板块互斥,橡胶,化工能化,short,2025-08-15,2025-08-27,15905.0,15760.0,8,0.009116629990569003,,tp3_main_turn_up
策略2_仅3槽_无板块互斥,焦煤,黑色系,short,2025-08-15,2025-08-25,1230.0,1215.5,6,0.011788617886178862,,tp3_main_turn_up
策略2_仅3槽_无板块互斥,沪铝,有色金属,short,2025-08-18,2025-08-22,20595.0,20630.0,4,-0.0016994416120417577,,tp3_main_turn_up
策略2_仅3槽_无板块互斥,玉米,农产品,long,2025-08-25,2025-09-09,2154.0,2214.0,11,0.027855153203342618,,tp3_main_turn_down
策略2_仅3槽_无板块互斥,沪金,贵金属,long,2025-08-26,2025-09-08,781.12,825.18,9,0.05640618598934856,,tp3_main_turn_down
策略2_仅3槽_无板块互斥,PTA,化工能化,short,2025-08-28,2025-09-09,4792.0,4678.0,8,0.02378964941569282,,tp3_main_turn_up
策略2_仅3槽_无板块互斥,焦煤,黑色系,long,2025-09-09,2025-09-22,1123.5,1217.5,9,0.08366711170449488,0.7666666666666667,tp3_main_turn_down
策略2_仅3槽_无板块互斥,沪铜,有色金属,short,2025-09-10,2025-09-12,79790.0,81060.0,2,-0.01591678155157288,0.5333333333333333,tp3_main_turn_up
策略2_仅3槽_无板块互斥,玉米,农产品,short,2025-09-10,2025-09-22,2197.0,2147.0,8,0.02275830678197542,0.7666666666666667,tp3_main_turn_up
策略2_仅3槽_无板块互斥,沪锌,有色金属,long,2025-09-15,2025-09-18,22310.0,22045.0,3,-0.011878081577767817,0.5333333333333333,tp3_main_turn_down
策略2_仅3槽_无板块互斥,沪铝,有色金属,short,2025-09-19,2025-09-26,20795.0,20745.0,5,0.0024044241404183697,1.0,tp3_main_turn_up
策略2_仅3槽_无板块互斥,焦煤,黑色系,short,2025-09-23,2025-10-15,1217.5,1151.0,10,0.05462012320328542,0.7,tp3_main_turn_up
策略2_仅3槽_无板块互斥,玉米,农产品,long,2025-09-24,2025-10-13,2164.0,2092.0,7,-0.033271719038817,0.16666666666666666,tp3_main_turn_down
策略2_仅3槽_无板块互斥,铁矿石,黑色系,short,2025-09-29,2025-10-13,784.0,804.5,4,-0.02614795918367347,0.9666666666666667,tp3_main_turn_up
策略2_仅3槽_无板块互斥,棕榈油,油脂油料,short,2025-10-17,2025-11-05,9308.0,8590.0,13,0.07713794585302965,0.8,tp3_main_turn_up
策略2_仅3槽_无板块互斥,焦煤,黑色系,long,2025-10-17,2025-10-27,1179.0,1263.5,6,0.07167090754877015,0.6,tp3_main_turn_down
策略2_仅3槽_无板块互斥,玉米,农产品,long,2025-10-17,2025-10-24,2117.0,2133.0,5,0.007557864903164856,0.5,tp3_main_turn_down
策略2_仅3槽_无板块互斥,沪锌,有色金属,long,2025-10-27,2025-10-30,22365.0,22365.0,3,0.0,0.9666666666666667,tp3_main_turn_down
策略2_仅3槽_无板块互斥,橡胶,化工能化,short,2025-10-31,2025-11-07,15085.0,14995.0,5,0.005966191581040769,0.7666666666666667,tp3_main_turn_up
