pair,n,same_rate,opp_rate,binom_p_same,chi2_p,long_y_n,long_same_rate,short_y_n,short_same_rate,variety_id,variety_name,S
main~close,177,0.4463276836158192,0.5536723163841808,0.17589930239341012,0.14929218102200628,88,0.3977272727272727,89,0.4943820224719101,4,锰硅,2
retail~close,177,0.5536723163841808,0.4463276836158192,0.17589930239341012,0.15162164087901983,88,0.5795454545454546,89,0.5280898876404494,4,锰硅,2
main~retail,177,0.22598870056497175,0.7740112994350282,1.2527003243416766e-13,3.622718455354589e-13,93,0.1935483870967742,84,0.2619047619047619,4,锰硅,2
main~close,174,0.5172413793103449,0.4482758620689655,0.7047680231195158,0.34319273562387337,85,0.4823529411764706,83,0.5903614457831325,4,锰硅,3
retail~close,174,0.4425287356321839,0.5229885057471264,0.14954904000438268,0.27394757746179227,85,0.49411764705882355,83,0.42168674698795183,4,锰硅,3
main~retail,174,0.22988505747126436,0.7701149425287356,4.664600328532964e-13,1.2736670758478174e-12,93,0.21505376344086022,81,0.24691358024691357,4,锰硅,3
main~close,171,0.5906432748538012,0.40350877192982454,0.021506542463250306,0.009120202113251496,95,0.5473684210526316,75,0.6533333333333333,4,锰硅,4
retail~close,171,0.4152046783625731,0.5730994152046783,0.031954028592738,0.028483910020316625,95,0.45263157894736844,75,0.37333333333333335,4,锰硅,4
main~retail,171,0.17543859649122806,0.8187134502923976,2.0823268066276915e-18,3.87677775288488e-17,90,0.15555555555555556,80,0.2,4,锰硅,4
main~close,177,0.5988700564971752,0.384180790960452,0.010397044402203244,0.0037011026550143535,94,0.5957446808510638,80,0.625,5,沪铜,2
retail~close,177,0.327683615819209,0.6497175141242938,5.294914244749991e-06,2.0711296066924793e-05,94,0.2872340425531915,80,0.3875,5,沪铜,2
main~retail,177,0.24293785310734464,0.751412429378531,4.4289464995098345e-12,8.05114391452685e-12,77,0.2077922077922078,99,0.2727272727272727,5,沪铜,2
main~close,174,0.6609195402298851,0.3333333333333333,2.6281626550885452e-05,1.3314607801655594e-05,105,0.6476190476190476,68,0.6911764705882353,5,沪铜,3
retail~close,174,0.3390804597701149,0.6436781609195402,2.6281626550885452e-05,0.0001261334005084184,105,0.3142857142857143,68,0.38235294117647056,5,沪铜,3
