boot_mean,boot_std,boot_p_ge_obs,variety_id,variety_name,S,pair
0.4751073446327683,0.03682175552893117,1.0,21,玉米,2,retail~close
0.47685344827586207,0.03677341133050546,0.0,21,玉米,3,main~close
0.4766005747126437,0.037557542828555765,1.0,21,玉米,3,retail~close
0.4916608187134503,0.038077551589128504,0.0,21,玉米,4,main~close
0.4889824561403509,0.03787313657722568,1.0,21,玉米,4,retail~close
0.4947598870056497,0.03667042878073391,0.0625,22,鸡蛋,2,main~close
0.49480790960451976,0.03658271229211823,0.939,22,鸡蛋,2,retail~close
0.500212643678161,0.03799395295427015,0.027,22,鸡蛋,3,main~close
0.4969885057471264,0.038070287749818014,1.0,22,鸡蛋,3,retail~close
0.499046783625731,0.03868783759014703,0.003,22,鸡蛋,4,main~close
0.5000409356725146,0.03965798474339293,1.0,22,鸡蛋,4,retail~close
0.484138418079096,0.03621197613165528,0.0035,23,棉花,2,main~close
0.4814915254237288,0.03620222601231411,1.0,23,棉花,2,retail~close
0.4879454022988506,0.037086556349226675,0.0,23,棉花,3,main~close
0.4865890804597701,0.03767515475706881,1.0,23,棉花,3,retail~close
0.49385380116959066,0.03700853479056531,0.0,23,棉花,4,main~close
0.5026140350877193,0.03720612469635652,1.0,23,棉花,4,retail~close
0.49541525423728816,0.03688338267372814,0.0035,24,白糖,2,main~close
0.4939152542372881,0.03731939752692264,1.0,24,白糖,2,retail~close
0.5015287356321839,0.03774477256160526,0.0,24,白糖,3,main~close
0.49670114942528737,0.03856211520082964,1.0,24,白糖,3,retail~close
0.49870760233918127,0.03791763395675003,0.0,24,白糖,4,main~close
0.49514035087719294,0.037187850890984364,1.0,24,白糖,4,retail~close
0.4960451977401131,0.03765103327168269,0.887,25,苹果,2,main~close
0.4985028248587571,0.037349194572528235,0.235,25,苹果,2,retail~close
0.49519540229885056,0.03785830017044455,0.0955,25,苹果,3,main~close
0.4990402298850574,0.03727671048261648,0.659,25,苹果,3,retail~close
0.4906783625730994,0.03802256434816222,0.1235,25,苹果,4,main~close
0.4923304093567251,0.03836407417099635,0.665,25,苹果,4,retail~close
0.4962062146892655,0.03688451634552908,0.4565,26,红枣,2,main~close
0.49637853107344637,0.03767777887862207,0.338,26,红枣,2,retail~close
0.494382183908046,0.037790576651379776,0.056,26,红枣,3,main~close
0.491316091954023,0.037488659931559705,0.9175,26,红枣,3,retail~close
0.4958304093567251,0.038099148612478546,0.0095,26,红枣,4,main~close
0.5002543859649122,0.038431379846105194,0.9905,26,红枣,4,retail~close
0.48777966101694914,0.036886395589404326,0.3105,27,花生,2,main~close
0.4768700564971751,0.03684905150252453,0.8175,27,花生,2,retail~close
0.47850287356321836,0.03714447435126186,0.367,27,花生,3,main~close
0.4758879310344828,0.03817592479103049,0.572,27,花生,3,retail~close
0.48687719298245613,0.036940120246707134,0.0975,27,花生,4,main~close
0.4940877192982456,0.037095056177033424,0.865,27,花生,4,retail~close
0.49195197740112995,0.037216074758560196,0.0,28,PTA,2,main~close
0.49151129943502825,0.03737726624886445,1.0,28,PTA,2,retail~close
0.49921264367816093,0.03908858561565878,0.0,28,PTA,3,main~close
0.49974137931034485,0.03857429779002327,1.0,28,PTA,3,retail~close
0.4961286549707602,0.038473024210145264,0.0,28,PTA,4,main~close
0.4992777777777777,0.038380018386665236,1.0,28,PTA,4,retail~close
0.49996045197740113,0.03790406848697007,0.0,29,对二甲苯,2,main~close
0.5000169491525424,0.03745596156534296,1.0,29,对二甲苯,2,retail~close
0.49110344827586205,0.038610979896002755,0.0,29,对二甲苯,3,main~close
0.49507471264367814,0.03746119276183182,1.0,29,对二甲苯,3,retail~close
0.497125730994152,0.037581200460101036,0.0,29,对二甲苯,4,main~close
0.4981491228070175,0.03859109821882807,1.0,29,对二甲苯,4,retail~close
0.5061977401129943,0.037115501333131386,0.0,30,聚丙烯,2,main~close
0.5022768361581921,0.03661286826559729,1.0,30,聚丙烯,2,retail~close
0.4989310344827586,0.03675349320516898,0.0,30,聚丙烯,3,main~close
