t_start,t_end,S,delta_main,delta_retail,delta_close,dir_main,dir_retail,dir_close
2025-11-24,2025-11-26,3,-5.360000000000001,-3.21,6.5,-1,-1,1
2025-11-25,2025-11-27,3,-3.9299999999999997,-6.630000000000001,5.5,-1,-1,1
2025-11-26,2025-11-28,3,-3.83,-5.260000000000001,-3.0,-1,-1,-1
2025-11-27,2025-12-01,3,-6.4,-2.2799999999999994,1.5,-1,-1,1
2025-11-28,2025-12-02,3,-5.21,-0.20999999999999996,6.5,-1,-1,1
2025-12-01,2025-12-03,3,-6.62,2.9799999999999995,-1.5,-1,1,-1
2025-12-02,2025-12-04,3,-8.17,5.58,-23.5,-1,1,-1
2025-12-03,2025-12-05,3,-8.33,7.25,-30.5,-1,1,-1
2025-12-04,2025-12-08,3,-15.39,7.61,-16.5,-1,1,-1
2025-12-05,2025-12-09,3,-28.240000000000002,7.17,-11.5,-1,1,-1
2025-12-08,2025-12-10,3,-16.660000000000004,3.5600000000000005,8.5,-1,1,1
2025-12-09,2025-12-11,3,2.450000000000003,0.05000000000000071,-0.5,1,1,-1
2025-12-10,2025-12-12,3,5.990000000000002,-1.7500000000000009,-8.5,1,-1,-1
2025-12-11,2025-12-15,3,5.800000000000001,-2.0500000000000007,-4.0,1,-1,-1
2025-12-12,2025-12-16,3,16.060000000000002,-1.2999999999999998,0.5,1,-1,1
2025-12-15,2025-12-17,3,18.490000000000002,-3.69,15.0,1,-1,1
2025-12-16,2025-12-18,3,15.0,-7.1,16.5,1,-1,1
2025-12-17,2025-12-19,3,18.36,-9.53,12.0,1,-1,1
2025-12-18,2025-12-22,3,21.119999999999997,-10.09,4.0,1,-1,1
2025-12-19,2025-12-23,3,18.36,-6.819999999999999,-1.5,1,-1,-1
2025-12-22,2025-12-24,3,2.8200000000000003,-2.530000000000001,-2.0,1,-1,-1
2025-12-23,2025-12-25,3,-10.21,0.6199999999999992,0.0,-1,1,0
2025-12-24,2025-12-26,3,-11.709999999999999,1.950000000000001,3.5,-1,1,1
2025-12-25,2025-12-29,3,1.4100000000000001,-1.3399999999999999,18.0,1,-1,1
2025-12-26,2025-12-30,3,9.590000000000002,-2.25,6.0,1,-1,1
2025-12-29,2025-12-31,3,7.949999999999999,-0.6099999999999994,-7.0,1,-1,-1
2025-12-30,2026-01-05,3,5.979999999999997,-0.8200000000000003,8.0,1,-1,1
2025-12-31,2026-01-06,3,5.379999999999999,-1.7700000000000014,11.5,1,-1,1
2026-01-05,2026-01-07,3,5.07,-4.83,31.0,1,-1,1
2026-01-06,2026-01-08,3,3.730000000000004,-3.6599999999999984,12.0,1,-1,1
2026-01-07,2026-01-09,3,3.1400000000000006,0.5700000000000003,-13.5,1,1,-1
2026-01-08,2026-01-12,3,4.039999999999999,1.0700000000000003,9.5,1,1,1
2026-01-09,2026-01-13,3,0.6400000000000006,3.0,5.0,1,1,1
2026-01-12,2026-01-14,3,-10.55,4.419999999999998,-1.5,-1,1,-1
2026-01-13,2026-01-15,3,-19.1,4.99,-6.5,-1,1,-1
2026-01-14,2026-01-16,3,-18.32,7.960000000000001,-9.0,-1,1,-1
2026-01-15,2026-01-19,3,-27.14,11.01,-19.0,-1,1,-1
2026-01-16,2026-01-20,3,-33.68,13.530000000000001,-22.5,-1,1,-1
2026-01-19,2026-01-21,3,-24.47,13.709999999999999,-10.0,-1,1,-1
2026-01-20,2026-01-22,3,-14.379999999999999,9.059999999999999,-3.0,-1,1,-1
2026-01-21,2026-01-23,3,-3.1999999999999957,1.0200000000000014,11.0,-1,1,1
2026-01-22,2026-01-26,3,13.619999999999997,-3.76,-2.0,1,-1,-1
2026-01-23,2026-01-27,3,26.459999999999997,-5.5,-7.0,1,-1,-1
2026-01-26,2026-01-28,3,21.48,-5.2,-1.5,1,-1,-1
2026-01-27,2026-01-29,3,16.83,-4.53,10.5,1,-1,1
2026-01-28,2026-01-30,3,12.62,-3.88,8.5,1,-1,1
2026-01-29,2026-02-02,3,0.9900000000000002,0.040000000000000036,-15.5,1,1,-1
2026-01-30,2026-02-03,3,-6.289999999999999,4.67,-14.0,-1,1,-1
2026-02-02,2026-02-04,3,-5.47,5.33,-1.5,-1,1,-1
2026-02-03,2026-02-05,3,-12.68,3.75,-9.0,-1,1,-1
2026-02-04,2026-02-06,3,-21.93,3.6099999999999994,-21.0,-1,1,-1
2026-02-05,2026-02-09,3,-17.11,1.5,-7.0,-1,1,-1
2026-02-06,2026-02-10,3,-9.91,-1.5700000000000003,1.0,-1,-1,1
2026-02-09,2026-02-11,3,-6.830000000000002,-4.16,1.0,-1,-1,1
2026-02-10,2026-02-12,3,1.5899999999999999,-5.35,0.5,1,-1,1
2026-02-11,2026-02-13,3,1.0399999999999991,-3.04,-16.5,1,-1,-1
2026-02-24,2026-02-26,3,5.730000000000004,-0.21999999999999975,8.0,1,-1,1
2026-02-25,2026-02-27,3,5.539999999999999,-1.63,-2.0,1,-1,-1
2026-02-26,2026-03-02,3,13.669999999999998,-4.86,6.0,1,-1,1
2026-02-27,2026-03-03,3,24.41,-5.15,3.0,1,-1,1
2026-03-02,2026-03-04,3,17.22,-1.48,-2.5,1,-1,-1
2026-03-03,2026-03-05,3,16.85,-0.8,5.5,1,-1,1
2026-03-04,2026-03-06,3,21.060000000000002,-3.87,20.0,1,-1,1
2026-03-05,2026-03-09,3,18.78,-7.79,25.5,1,-1,1
2026-03-06,2026-03-10,3,16.609999999999996,-7.800000000000001,12.0,1,-1,1
2026-03-09,2026-03-11,3,11.370000000000005,-4.119999999999999,3.0,1,-1,1
2026-03-10,2026-03-12,3,6.600000000000001,-2.49,11.5,1,-1,1
2026-03-11,2026-03-13,3,9.0,-3.67,24.0,1,-1,1
2026-03-12,2026-03-16,3,1.9699999999999989,-2.969999999999999,13.5,1,-1,1
2026-03-13,2026-03-17,3,-5.680000000000007,-0.21000000000000085,5.0,-1,-1,1
2026-03-16,2026-03-18,3,-1.769999999999996,2.4499999999999993,2.0,-1,1,1
2026-03-17,2026-03-19,3,-7.199999999999996,6.370000000000001,-9.0,-1,1,-1
2026-03-18,2026-03-20,3,-17.830000000000002,6.67,4.5,-1,1,1
2026-03-19,2026-03-23,3,-11.170000000000002,2.7799999999999994,11.5,-1,1,1
2026-03-20,2026-03-24,3,-1.0500000000000007,-1.5700000000000003,8.5,-1,-1,1
2026-03-23,2026-03-25,3,-9.43,-1.5899999999999999,-12.5,-1,-1,-1
2026-03-24,2026-03-26,3,-11.159999999999998,0.6300000000000008,-7.0,-1,1,-1
2026-03-25,2026-03-27,3,-8.95,2.2699999999999996,5.5,-1,1,1
2026-03-26,2026-03-30,3,-11.31,3.2299999999999995,-4.0,-1,1,-1
2026-03-27,2026-03-31,3,-14.100000000000001,2.93,-4.0,-1,1,-1
2026-03-30,2026-04-01,3,-6.08,2.0100000000000002,-1.0,-1,1,-1
2026-03-31,2026-04-02,3,-4.38,2.17,-3.0,-1,1,-1
2026-04-01,2026-04-03,3,-9.36,4.609999999999999,-36.0,-1,1,-1
2026-04-02,2026-04-07,3,-5.18,6.04,-30.5,-1,1,-1
2026-04-03,2026-04-08,3,-4.860000000000001,6.390000000000001,-9.5,-1,1,-1
2026-04-07,2026-04-09,3,-15.670000000000002,6.5600000000000005,-24.5,-1,1,-1
2026-04-08,2026-04-10,3,-18.31,4.049999999999999,-13.0,-1,1,-1
2026-04-09,2026-04-13,3,-7.309999999999995,-1.370000000000001,13.5,-1,-1,1
2026-04-10,2026-04-14,3,-3.700000000000003,-3.7699999999999996,5.0,-1,-1,1
2026-04-13,2026-04-15,3,-0.6600000000000037,-4.26,0.5,-1,-1,1
2026-04-14,2026-04-16,3,24.03,-6.99,24.0,1,-1,1
2026-04-15,2026-04-17,3,38.39,-7.5,14.5,1,-1,1
2026-04-16,2026-04-20,3,21.32,-4.47,4.0,1,-1,1
